"CVM - LATAM - Mexico - Internal Servers - Patch Report","05/01/2017 at 06:32:56 (GMT)"
"Zurich Financial Services","4750 Wilshire Blvd.","Annex 2","Los Angeles","California","United States of America","90010"
10.110.10.146,"236056","RHSA-2016:1504","4","Red Hat Update for java-1.7.0-openjdk (RHSA-2016:1504)","1","07/27/2016",Global Default Network
10.110.10.146,"123959","RHSA-2016:0996","4","Red Hat Update for openssl security  (RHSA-2016:0996)","1","05/10/2016",Global Default Network
10.110.10.146,"124624","RHSA-2016:0723","5","Red Hat Update for java-1.6.0-openjdk security  (RHSA-2016:0723)","1","05/09/2016",Global Default Network
10.110.10.146,"124891","RHSA-2016:0612","5","Red Hat Update for samba and samba4 (RHSA-2016:0612) (BADLOCK)","1","04/12/2016",Global Default Network
10.110.10.146,"124953","RHSA-2016:0675","5","Red Hat Update for java-1.7.0-openjdk security (RHSA-2016:0675)","1","04/21/2016",Global Default Network
10.110.10.146,"122376","RHSA-2014:0907","4","Red Hat Update for java-1.6.0-openjdk (RHSA-2014:0907)","1","07/21/2014",Global Default Network
10.110.10.168,"236126","RHSA-2016:2105","4","Red Hat Update for kernel (RHSA-2016:2105) (Dirty Cow)","1","10/25/2016",Global Default Network
10.110.10.168,"236139","RHSA-2016:2141","4","Red Hat Update for bind (RHSA-2016:2141)","1","11/02/2016",Global Default Network
10.110.10.168,"236181","RHSA-2016:2658","4","Red Hat Update for java-1.7.0-openjdk (RHSA-2016:2658)","1","11/07/2016",Global Default Network
10.110.10.168,"236122","RHSA-2016:2093","4","Red Hat Update for bind (RHSA-2016:2093)","1","10/20/2016",Global Default Network
10.110.10.168,"236108","RHSA-2016:2006","4","Red Hat Update for kernel (RHSA-2016:2006)","1","10/04/2016",Global Default Network
10.110.10.168,"236082","RHSA-2016:1776","4","Red Hat Update for java-1.6.0-openjdk (RHSA-2016:1776 )","1","08/26/2016",Global Default Network
10.110.10.168,"236095","RHSA-2016:1940","4","Red Hat Update for openssl security (RHSA-2016:1940)","1","09/27/2016",Global Default Network
10.110.10.168,"236098","RHSA-2016:1944","4","Red Hat Update for bind (RHSA-2016:1944)","1","09/28/2016",Global Default Network
10.110.10.168,"236189","RHSA-2016:2702","4","Red Hat Update for policycoreutils (RHSA-2016:2702)","1","11/14/2016",Global Default Network
10.110.10.168,"236192","RHSA-2016:2766","4","Red Hat Update for kernel (RHSA-2016:2766)","1","11/15/2016",Global Default Network
10.110.10.168,"236261","RHSA-2017:0269","5","Red Hat Update for java-1.7.0-openjdk Security (RHSA-2017:0269)","1","02/13/2017",Global Default Network
10.110.10.168,"236267","RHSA-2017:0293","4","Red Hat Update for Kernel Security (RHSA-2017:0293)","1","02/22/2017",Global Default Network
10.110.10.168,"236315","RHSA-2017:0892","4","Red Hat Update for Kernel Security (RHSA-2017:0892)","1","04/11/2017",Global Default Network
10.110.10.168,"236233","RHSA-2017:0063","4","Red Hat Update for Bind Security (RHSA-2017:0063)","1","01/16/2017",Global Default Network
10.110.10.168,"236231","RHSA-2017:0061","4","Red Hat Update for  Java-1.6.0-Openjdk Security (RHSA-2017:0061)","1","01/12/2017",Global Default Network
10.110.10.168,"236195","RHSA-2016:2802","4","Red Hat Update for openssl (RHSA-2016:2802)","1","11/17/2016",Global Default Network
10.110.10.168,"236206","RHSA-2016:2872","4","Red Hat Update for Sudo Security (RHSA-2016:2872)","1","12/06/2016",Global Default Network
10.110.10.168,"236229","RHSA-2017:0036","4","Red Hat Update for Kernel Security (RHSA-2017:0036)","1","01/10/2017",Global Default Network
10.110.10.168,"236080","RHSA-2016:1664","4","Red Hat Update for kernel (RHSA-2016:1664)","1","08/23/2016",Global Default Network
10.110.10.168,"236058","RHSA-2016:1547","4","Red Hat Update for libtiff (RHSA-2016:1547)","1","08/02/2016",Global Default Network
10.110.10.168,"123660","RHSA-2015:1185","3","Red Hat Update for nss (RHSA-2015:1185)","1","06/25/2015",Global Default Network
10.110.10.168,"123726","RHSA-2015:1229","5","Red Hat Update for java-1.7.0-openjdk (RHSA-2015:1229)","1","07/15/2015",Global Default Network
10.110.10.168,"123787","RHSA-2015:1526","4","Red Hat Update for java-1.6.0-openjdk (RHSA-2015:1526)","1","07/30/2015",Global Default Network
10.110.10.168,"115226","RHSA-2015:1072","3","Red Hat Update for openssl (RHSA-2015:1072)","1","06/04/2015",Global Default Network
10.110.10.168,"123197","RHSA-2015:0085","3","Red Hat Update for java-1.6.0-openjdk (RHSA-2015:0085)","1","01/26/2015",Global Default Network
10.110.10.168,"123009","RHSA-2014:1948","3","Red Hat Update for nss, nss-util, and nss-softokn (RHSA-2014:1948)","1","12/02/2014",Global Default Network
10.110.10.168,"123183","RHSA-2015:0067","3","Red Hat Update for java-1.7.0-openjdk (RHSA-2015:0067)","1","01/21/2015",Global Default Network
10.110.10.168,"123184","RHSA-2015:0066","3","Red Hat Update for openssl (RHSA-2015:0066)","1","01/21/2015",Global Default Network
10.110.10.168,"124174","RHSA-2015:1920","5","Red Hat Update for java-1.7.0-openjdk (RHSA-2015:1920)","1","10/21/2015",Global Default Network
10.110.10.168,"124891","RHSA-2016:0612","5","Red Hat Update for samba and samba4 (RHSA-2016:0612) (BADLOCK)","1","04/12/2016",Global Default Network
10.110.10.168,"236040","RHSA-2016:1406","4","Red Hat Update for kernel (RHSA-2016:1406)","1","07/12/2016",Global Default Network
10.110.10.168,"236043","RHSA-2016:1421","4","Red Hat Update for httpd (RHSA-2016:1421) (HTTPoxy)","1","07/18/2016",Global Default Network
10.110.10.168,"236056","RHSA-2016:1504","4","Red Hat Update for java-1.7.0-openjdk (RHSA-2016:1504)","1","07/27/2016",Global Default Network
10.110.10.168,"236029","RHSA-2016:1292","4","Red Hat Update for libxml2 (RHSA-2016:1292)","1","06/23/2016",Global Default Network
10.110.10.168,"123959","RHSA-2016:0996","4","Red Hat Update for openssl security  (RHSA-2016:0996)","1","05/10/2016",Global Default Network
10.110.10.168,"124953","RHSA-2016:0675","5","Red Hat Update for java-1.7.0-openjdk security (RHSA-2016:0675)","1","04/21/2016",Global Default Network
10.110.10.168,"124624","RHSA-2016:0723","5","Red Hat Update for java-1.6.0-openjdk security  (RHSA-2016:0723)","1","05/09/2016",Global Default Network
10.110.10.168,"122730","RHSA-2014:1606","3","Red Hat Update for file (RHSA-2014:1606)","1","10/14/2014",Global Default Network
10.110.10.142,"236139","RHSA-2016:2141","4","Red Hat Update for bind (RHSA-2016:2141)","1","11/02/2016",Global Default Network
10.110.10.142,"236181","RHSA-2016:2658","4","Red Hat Update for java-1.7.0-openjdk (RHSA-2016:2658)","1","11/07/2016",Global Default Network
10.110.10.142,"236189","RHSA-2016:2702","4","Red Hat Update for policycoreutils (RHSA-2016:2702)","1","11/14/2016",Global Default Network
10.110.10.142,"236126","RHSA-2016:2105","4","Red Hat Update for kernel (RHSA-2016:2105) (Dirty Cow)","1","10/25/2016",Global Default Network
10.110.10.142,"236122","RHSA-2016:2093","4","Red Hat Update for bind (RHSA-2016:2093)","1","10/20/2016",Global Default Network
10.110.10.142,"236095","RHSA-2016:1940","4","Red Hat Update for openssl security (RHSA-2016:1940)","1","09/27/2016",Global Default Network
10.110.10.142,"236098","RHSA-2016:1944","4","Red Hat Update for bind (RHSA-2016:1944)","1","09/28/2016",Global Default Network
10.110.10.142,"236108","RHSA-2016:2006","4","Red Hat Update for kernel (RHSA-2016:2006)","1","10/04/2016",Global Default Network
10.110.10.142,"236192","RHSA-2016:2766","4","Red Hat Update for kernel (RHSA-2016:2766)","1","11/15/2016",Global Default Network
10.110.10.142,"236206","RHSA-2016:2872","4","Red Hat Update for Sudo Security (RHSA-2016:2872)","1","12/06/2016",Global Default Network
10.110.10.142,"236261","RHSA-2017:0269","5","Red Hat Update for java-1.7.0-openjdk Security (RHSA-2017:0269)","1","02/13/2017",Global Default Network
10.110.10.142,"236267","RHSA-2017:0293","4","Red Hat Update for Kernel Security (RHSA-2017:0293)","1","02/22/2017",Global Default Network
10.110.10.142,"236315","RHSA-2017:0892","4","Red Hat Update for Kernel Security (RHSA-2017:0892)","1","04/11/2017",Global Default Network
10.110.10.142,"236249","RHSA-2017:0184","4","Red Hat Update for mysql Security (RHSA-2017:0184)","1","01/24/2017",Global Default Network
10.110.10.142,"236233","RHSA-2017:0063","4","Red Hat Update for Bind Security (RHSA-2017:0063)","1","01/16/2017",Global Default Network
10.110.10.142,"236229","RHSA-2017:0036","4","Red Hat Update for Kernel Security (RHSA-2017:0036)","1","01/10/2017",Global Default Network
10.110.10.142,"236231","RHSA-2017:0061","4","Red Hat Update for  Java-1.6.0-Openjdk Security (RHSA-2017:0061)","1","01/12/2017",Global Default Network
10.110.10.142,"236082","RHSA-2016:1776","4","Red Hat Update for java-1.6.0-openjdk (RHSA-2016:1776 )","1","08/26/2016",Global Default Network
10.110.10.142,"236080","RHSA-2016:1664","4","Red Hat Update for kernel (RHSA-2016:1664)","1","08/23/2016",Global Default Network
10.110.10.142,"122018","RHSA-2014:0408","4","Red Hat Update for java-1.6.0-openjdk (RHSA-2014:0408)","1","04/16/2014",Global Default Network
10.110.10.142,"123726","RHSA-2015:1229","5","Red Hat Update for java-1.7.0-openjdk (RHSA-2015:1229)","1","07/15/2015",Global Default Network
10.110.10.142,"123787","RHSA-2015:1526","4","Red Hat Update for java-1.6.0-openjdk (RHSA-2015:1526)","1","07/30/2015",Global Default Network
10.110.10.142,"122016","RHSA-2014:0406","4","Red Hat Update for java-1.7.0-openjdk (RHSA-2014:0406)","1","04/16/2014",Global Default Network
10.110.10.142,"123197","RHSA-2015:0085","3","Red Hat Update for java-1.6.0-openjdk (RHSA-2015:0085)","1","01/26/2015",Global Default Network
10.110.10.142,"122730","RHSA-2014:1606","3","Red Hat Update for file (RHSA-2014:1606)","1","10/14/2014",Global Default Network
10.110.10.142,"123183","RHSA-2015:0067","3","Red Hat Update for java-1.7.0-openjdk (RHSA-2015:0067)","1","01/21/2015",Global Default Network
10.110.10.142,"124174","RHSA-2015:1920","5","Red Hat Update for java-1.7.0-openjdk (RHSA-2015:1920)","1","10/21/2015",Global Default Network
10.110.10.142,"124891","RHSA-2016:0612","5","Red Hat Update for samba and samba4 (RHSA-2016:0612) (BADLOCK)","1","04/12/2016",Global Default Network
10.110.10.142,"236040","RHSA-2016:1406","4","Red Hat Update for kernel (RHSA-2016:1406)","1","07/12/2016",Global Default Network
10.110.10.142,"236056","RHSA-2016:1504","4","Red Hat Update for java-1.7.0-openjdk (RHSA-2016:1504)","1","07/27/2016",Global Default Network
10.110.10.142,"236058","RHSA-2016:1547","4","Red Hat Update for libtiff (RHSA-2016:1547)","1","08/02/2016",Global Default Network
10.110.10.142,"236029","RHSA-2016:1292","4","Red Hat Update for libxml2 (RHSA-2016:1292)","1","06/23/2016",Global Default Network
10.110.10.142,"123959","RHSA-2016:0996","4","Red Hat Update for openssl security  (RHSA-2016:0996)","1","05/10/2016",Global Default Network
10.110.10.142,"124953","RHSA-2016:0675","5","Red Hat Update for java-1.7.0-openjdk security (RHSA-2016:0675)","1","04/21/2016",Global Default Network
10.110.10.142,"124624","RHSA-2016:0723","5","Red Hat Update for java-1.6.0-openjdk security  (RHSA-2016:0723)","1","05/09/2016",Global Default Network
10.110.10.142,"122376","RHSA-2014:0907","4","Red Hat Update for java-1.6.0-openjdk (RHSA-2014:0907)","1","07/21/2014",Global Default Network
10.110.6.124,"236202","RHSA-2016:2843","5","Red Hat Update for Firefox Security (RHSA-2016:2843)","1","12/01/2016",Global Default Network
10.110.6.124,"236206","RHSA-2016:2872","4","Red Hat Update for Sudo Security (RHSA-2016:2872)","1","12/06/2016",Global Default Network
10.110.6.124,"236208","RHSA-2016:2946","5","Red Hat Update Firefox Security  (RHSA-2016:2946)","1","12/14/2016",Global Default Network
10.110.6.124,"236194","RHSA-2016:2780","5","Red Hat Update for firefox (RHSA-2016:2780)","1","11/16/2016",Global Default Network
10.110.6.124,"236192","RHSA-2016:2766","4","Red Hat Update for kernel (RHSA-2016:2766)","1","11/15/2016",Global Default Network
10.110.6.124,"236139","RHSA-2016:2141","4","Red Hat Update for bind (RHSA-2016:2141)","1","11/02/2016",Global Default Network
10.110.6.124,"236181","RHSA-2016:2658","4","Red Hat Update for java-1.7.0-openjdk (RHSA-2016:2658)","1","11/07/2016",Global Default Network
10.110.6.124,"236189","RHSA-2016:2702","4","Red Hat Update for policycoreutils (RHSA-2016:2702)","1","11/14/2016",Global Default Network
10.110.6.124,"236229","RHSA-2017:0036","4","Red Hat Update for Kernel Security (RHSA-2017:0036)","1","01/10/2017",Global Default Network
10.110.6.124,"236231","RHSA-2017:0061","4","Red Hat Update for  Java-1.6.0-Openjdk Security (RHSA-2017:0061)","1","01/12/2017",Global Default Network
10.110.6.124,"236267","RHSA-2017:0293","4","Red Hat Update for Kernel Security (RHSA-2017:0293)","1","02/22/2017",Global Default Network
10.110.6.124,"236285","RHSA-2017:0459","5","Red Hat Update for firefox Security (RHSA-2017:0459)","1","03/08/2017",Global Default Network
10.110.6.124,"236315","RHSA-2017:0892","4","Red Hat Update for Kernel Security (RHSA-2017:0892)","1","04/11/2017",Global Default Network
10.110.6.124,"236261","RHSA-2017:0269","5","Red Hat Update for java-1.7.0-openjdk Security (RHSA-2017:0269)","1","02/13/2017",Global Default Network
10.110.6.124,"236250","RHSA-2017:0190","5","Red Hat Update for Firefox Security (RHSA-2017:0190)","1","01/25/2017",Global Default Network
10.110.6.124,"236233","RHSA-2017:0063","4","Red Hat Update for Bind Security (RHSA-2017:0063)","1","01/16/2017",Global Default Network
10.110.6.124,"236249","RHSA-2017:0184","4","Red Hat Update for mysql Security (RHSA-2017:0184)","1","01/24/2017",Global Default Network
10.110.6.124,"236126","RHSA-2016:2105","4","Red Hat Update for kernel (RHSA-2016:2105) (Dirty Cow)","1","10/25/2016",Global Default Network
10.110.6.124,"236122","RHSA-2016:2093","4","Red Hat Update for bind (RHSA-2016:2093)","1","10/20/2016",Global Default Network
10.110.6.124,"236029","RHSA-2016:1292","4","Red Hat Update for libxml2 (RHSA-2016:1292)","1","06/23/2016",Global Default Network
10.110.6.124,"236040","RHSA-2016:1406","4","Red Hat Update for kernel (RHSA-2016:1406)","1","07/12/2016",Global Default Network
10.110.6.124,"236056","RHSA-2016:1504","4","Red Hat Update for java-1.7.0-openjdk (RHSA-2016:1504)","1","07/27/2016",Global Default Network
10.110.6.124,"236025","RHSA-2016:1217","5","Red Hat Update for firefox (RHSA-2016:1217)","1","06/08/2016",Global Default Network
10.110.6.124,"123959","RHSA-2016:0996","4","Red Hat Update for openssl security  (RHSA-2016:0996)","1","05/10/2016",Global Default Network
10.110.6.124,"120252","RHSA-2016:0695","5","Red Hat Update For Firefox Security  (RHSA-2016:0695)","1","04/27/2016",Global Default Network
10.110.6.124,"124624","RHSA-2016:0723","5","Red Hat Update for java-1.6.0-openjdk security  (RHSA-2016:0723)","1","05/09/2016",Global Default Network
10.110.6.124,"236058","RHSA-2016:1547","4","Red Hat Update for libtiff (RHSA-2016:1547)","1","08/02/2016",Global Default Network
10.110.6.124,"236063","RHSA-2016:1551","5","Red Hat Update for firefox (RHSA-2016:1551)","1","08/03/2016",Global Default Network
10.110.6.124,"236098","RHSA-2016:1944","4","Red Hat Update for bind (RHSA-2016:1944)","1","09/28/2016",Global Default Network
10.110.6.124,"236108","RHSA-2016:2006","4","Red Hat Update for kernel (RHSA-2016:2006)","1","10/04/2016",Global Default Network
10.110.6.124,"236111","RHSA-2016:2045","4","Red Hat Update for tomcat6 (RHSA-2016:2045)","1","10/10/2016",Global Default Network
10.110.6.124,"236095","RHSA-2016:1940","4","Red Hat Update for openssl security (RHSA-2016:1940)","1","09/27/2016",Global Default Network
10.110.6.124,"236094","RHSA-2016:1912","5","Red Hat Update for firefox (RHSA-2016:1912)","1","09/21/2016",Global Default Network
10.110.6.124,"236080","RHSA-2016:1664","4","Red Hat Update for kernel (RHSA-2016:1664)","1","08/23/2016",Global Default Network
10.110.6.124,"236082","RHSA-2016:1776","4","Red Hat Update for java-1.6.0-openjdk (RHSA-2016:1776 )","1","08/26/2016",Global Default Network
10.110.6.124,"124953","RHSA-2016:0675","5","Red Hat Update for java-1.7.0-openjdk security (RHSA-2016:0675)","1","04/21/2016",Global Default Network
10.110.10.25,"236181","RHSA-2016:2658","4","Red Hat Update for java-1.7.0-openjdk (RHSA-2016:2658)","1","11/07/2016",Global Default Network
10.110.10.25,"236189","RHSA-2016:2702","4","Red Hat Update for policycoreutils (RHSA-2016:2702)","1","11/14/2016",Global Default Network
10.110.10.25,"236192","RHSA-2016:2766","4","Red Hat Update for kernel (RHSA-2016:2766)","1","11/15/2016",Global Default Network
10.110.10.25,"236139","RHSA-2016:2141","4","Red Hat Update for bind (RHSA-2016:2141)","1","11/02/2016",Global Default Network
10.110.10.25,"236126","RHSA-2016:2105","4","Red Hat Update for kernel (RHSA-2016:2105) (Dirty Cow)","1","10/25/2016",Global Default Network
10.110.10.25,"236108","RHSA-2016:2006","4","Red Hat Update for kernel (RHSA-2016:2006)","1","10/04/2016",Global Default Network
10.110.10.25,"236122","RHSA-2016:2093","4","Red Hat Update for bind (RHSA-2016:2093)","1","10/20/2016",Global Default Network
10.110.10.25,"236195","RHSA-2016:2802","4","Red Hat Update for openssl (RHSA-2016:2802)","1","11/17/2016",Global Default Network
10.110.10.25,"236206","RHSA-2016:2872","4","Red Hat Update for Sudo Security (RHSA-2016:2872)","1","12/06/2016",Global Default Network
10.110.10.25,"236261","RHSA-2017:0269","5","Red Hat Update for java-1.7.0-openjdk Security (RHSA-2017:0269)","1","02/13/2017",Global Default Network
10.110.10.25,"236267","RHSA-2017:0293","4","Red Hat Update for Kernel Security (RHSA-2017:0293)","1","02/22/2017",Global Default Network
10.110.10.25,"236315","RHSA-2017:0892","4","Red Hat Update for Kernel Security (RHSA-2017:0892)","1","04/11/2017",Global Default Network
10.110.10.25,"236249","RHSA-2017:0184","4","Red Hat Update for mysql Security (RHSA-2017:0184)","1","01/24/2017",Global Default Network
10.110.10.25,"236233","RHSA-2017:0063","4","Red Hat Update for Bind Security (RHSA-2017:0063)","1","01/16/2017",Global Default Network
10.110.10.25,"236229","RHSA-2017:0036","4","Red Hat Update for Kernel Security (RHSA-2017:0036)","1","01/10/2017",Global Default Network
10.110.10.25,"236231","RHSA-2017:0061","4","Red Hat Update for  Java-1.6.0-Openjdk Security (RHSA-2017:0061)","1","01/12/2017",Global Default Network
10.110.10.25,"236098","RHSA-2016:1944","4","Red Hat Update for bind (RHSA-2016:1944)","1","09/28/2016",Global Default Network
10.110.10.25,"236095","RHSA-2016:1940","4","Red Hat Update for openssl security (RHSA-2016:1940)","1","09/27/2016",Global Default Network
10.110.10.25,"124698","RHSA-2016:0175","5","Red Hat Update for glibc (RHSA-2016:0175)","1","02/16/2016",Global Default Network
10.110.10.25,"124890","RHSA-2016:0611","5","Red Hat Update for samba (RHSA-2016:0611) (BADLOCK)","1","04/12/2016",Global Default Network
10.110.10.25,"124891","RHSA-2016:0612","5","Red Hat Update for samba and samba4 (RHSA-2016:0612) (BADLOCK)","1","04/12/2016",Global Default Network
10.110.10.25,"124174","RHSA-2015:1920","5","Red Hat Update for java-1.7.0-openjdk (RHSA-2015:1920)","1","10/21/2015",Global Default Network
10.110.10.25,"123787","RHSA-2015:1526","4","Red Hat Update for java-1.6.0-openjdk (RHSA-2015:1526)","1","07/30/2015",Global Default Network
10.110.10.25,"123660","RHSA-2015:1185","3","Red Hat Update for nss (RHSA-2015:1185)","1","06/25/2015",Global Default Network
10.110.10.25,"123726","RHSA-2015:1229","5","Red Hat Update for java-1.7.0-openjdk (RHSA-2015:1229)","1","07/15/2015",Global Default Network
10.110.10.25,"124953","RHSA-2016:0675","5","Red Hat Update for java-1.7.0-openjdk security (RHSA-2016:0675)","1","04/21/2016",Global Default Network
10.110.10.25,"124624","RHSA-2016:0723","5","Red Hat Update for java-1.6.0-openjdk security  (RHSA-2016:0723)","1","05/09/2016",Global Default Network
10.110.10.25,"236058","RHSA-2016:1547","4","Red Hat Update for libtiff (RHSA-2016:1547)","1","08/02/2016",Global Default Network
10.110.10.25,"236080","RHSA-2016:1664","4","Red Hat Update for kernel (RHSA-2016:1664)","1","08/23/2016",Global Default Network
10.110.10.25,"236082","RHSA-2016:1776","4","Red Hat Update for java-1.6.0-openjdk (RHSA-2016:1776 )","1","08/26/2016",Global Default Network
10.110.10.25,"236056","RHSA-2016:1504","4","Red Hat Update for java-1.7.0-openjdk (RHSA-2016:1504)","1","07/27/2016",Global Default Network
10.110.10.25,"236040","RHSA-2016:1406","4","Red Hat Update for kernel (RHSA-2016:1406)","1","07/12/2016",Global Default Network
10.110.10.25,"123959","RHSA-2016:0996","4","Red Hat Update for openssl security  (RHSA-2016:0996)","1","05/10/2016",Global Default Network
10.110.10.25,"236029","RHSA-2016:1292","4","Red Hat Update for libxml2 (RHSA-2016:1292)","1","06/23/2016",Global Default Network
10.110.10.25,"115226","RHSA-2015:1072","3","Red Hat Update for openssl (RHSA-2015:1072)","1","06/04/2015",Global Default Network
10.110.7.124,"236202","RHSA-2016:2843","5","Red Hat Update for Firefox Security (RHSA-2016:2843)","1","12/01/2016",Global Default Network
10.110.7.124,"236206","RHSA-2016:2872","4","Red Hat Update for Sudo Security (RHSA-2016:2872)","1","12/06/2016",Global Default Network
10.110.7.124,"236208","RHSA-2016:2946","5","Red Hat Update Firefox Security  (RHSA-2016:2946)","1","12/14/2016",Global Default Network
10.110.7.124,"236194","RHSA-2016:2780","5","Red Hat Update for firefox (RHSA-2016:2780)","1","11/16/2016",Global Default Network
10.110.7.124,"236192","RHSA-2016:2766","4","Red Hat Update for kernel (RHSA-2016:2766)","1","11/15/2016",Global Default Network
10.110.7.124,"236181","RHSA-2016:2658","4","Red Hat Update for java-1.7.0-openjdk (RHSA-2016:2658)","1","11/07/2016",Global Default Network
10.110.7.124,"236189","RHSA-2016:2702","4","Red Hat Update for policycoreutils (RHSA-2016:2702)","1","11/14/2016",Global Default Network
10.110.7.124,"236229","RHSA-2017:0036","4","Red Hat Update for Kernel Security (RHSA-2017:0036)","1","01/10/2017",Global Default Network
10.110.7.124,"236231","RHSA-2017:0061","4","Red Hat Update for  Java-1.6.0-Openjdk Security (RHSA-2017:0061)","1","01/12/2017",Global Default Network
10.110.7.124,"236267","RHSA-2017:0293","4","Red Hat Update for Kernel Security (RHSA-2017:0293)","1","02/22/2017",Global Default Network
10.110.7.124,"236285","RHSA-2017:0459","5","Red Hat Update for firefox Security (RHSA-2017:0459)","1","03/08/2017",Global Default Network
10.110.7.124,"236315","RHSA-2017:0892","4","Red Hat Update for Kernel Security (RHSA-2017:0892)","1","04/11/2017",Global Default Network
10.110.7.124,"236261","RHSA-2017:0269","5","Red Hat Update for java-1.7.0-openjdk Security (RHSA-2017:0269)","1","02/13/2017",Global Default Network
10.110.7.124,"236250","RHSA-2017:0190","5","Red Hat Update for Firefox Security (RHSA-2017:0190)","1","01/25/2017",Global Default Network
10.110.7.124,"236233","RHSA-2017:0063","4","Red Hat Update for Bind Security (RHSA-2017:0063)","1","01/16/2017",Global Default Network
10.110.7.124,"236249","RHSA-2017:0184","4","Red Hat Update for mysql Security (RHSA-2017:0184)","1","01/24/2017",Global Default Network
10.110.7.124,"236139","RHSA-2016:2141","4","Red Hat Update for bind (RHSA-2016:2141)","1","11/02/2016",Global Default Network
10.110.7.124,"236126","RHSA-2016:2105","4","Red Hat Update for kernel (RHSA-2016:2105) (Dirty Cow)","1","10/25/2016",Global Default Network
10.110.7.124,"236040","RHSA-2016:1406","4","Red Hat Update for kernel (RHSA-2016:1406)","1","07/12/2016",Global Default Network
10.110.7.124,"236056","RHSA-2016:1504","4","Red Hat Update for java-1.7.0-openjdk (RHSA-2016:1504)","1","07/27/2016",Global Default Network
10.110.7.124,"236058","RHSA-2016:1547","4","Red Hat Update for libtiff (RHSA-2016:1547)","1","08/02/2016",Global Default Network
10.110.7.124,"236029","RHSA-2016:1292","4","Red Hat Update for libxml2 (RHSA-2016:1292)","1","06/23/2016",Global Default Network
10.110.7.124,"236025","RHSA-2016:1217","5","Red Hat Update for firefox (RHSA-2016:1217)","1","06/08/2016",Global Default Network
10.110.7.124,"124624","RHSA-2016:0723","5","Red Hat Update for java-1.6.0-openjdk security  (RHSA-2016:0723)","1","05/09/2016",Global Default Network
10.110.7.124,"123959","RHSA-2016:0996","4","Red Hat Update for openssl security  (RHSA-2016:0996)","1","05/10/2016",Global Default Network
10.110.7.124,"236063","RHSA-2016:1551","5","Red Hat Update for firefox (RHSA-2016:1551)","1","08/03/2016",Global Default Network
10.110.7.124,"236080","RHSA-2016:1664","4","Red Hat Update for kernel (RHSA-2016:1664)","1","08/23/2016",Global Default Network
10.110.7.124,"236108","RHSA-2016:2006","4","Red Hat Update for kernel (RHSA-2016:2006)","1","10/04/2016",Global Default Network
10.110.7.124,"236111","RHSA-2016:2045","4","Red Hat Update for tomcat6 (RHSA-2016:2045)","1","10/10/2016",Global Default Network
10.110.7.124,"236122","RHSA-2016:2093","4","Red Hat Update for bind (RHSA-2016:2093)","1","10/20/2016",Global Default Network
10.110.7.124,"236098","RHSA-2016:1944","4","Red Hat Update for bind (RHSA-2016:1944)","1","09/28/2016",Global Default Network
10.110.7.124,"236095","RHSA-2016:1940","4","Red Hat Update for openssl security (RHSA-2016:1940)","1","09/27/2016",Global Default Network
10.110.7.124,"236082","RHSA-2016:1776","4","Red Hat Update for java-1.6.0-openjdk (RHSA-2016:1776 )","1","08/26/2016",Global Default Network
10.110.7.124,"236094","RHSA-2016:1912","5","Red Hat Update for firefox (RHSA-2016:1912)","1","09/21/2016",Global Default Network
10.110.7.124,"124953","RHSA-2016:0675","5","Red Hat Update for java-1.7.0-openjdk security (RHSA-2016:0675)","1","04/21/2016",Global Default Network
10.110.6.125,"236202","RHSA-2016:2843","5","Red Hat Update for Firefox Security (RHSA-2016:2843)","1","12/01/2016",Global Default Network
10.110.6.125,"236206","RHSA-2016:2872","4","Red Hat Update for Sudo Security (RHSA-2016:2872)","1","12/06/2016",Global Default Network
10.110.6.125,"236208","RHSA-2016:2946","5","Red Hat Update Firefox Security  (RHSA-2016:2946)","1","12/14/2016",Global Default Network
10.110.6.125,"236194","RHSA-2016:2780","5","Red Hat Update for firefox (RHSA-2016:2780)","1","11/16/2016",Global Default Network
10.110.6.125,"236192","RHSA-2016:2766","4","Red Hat Update for kernel (RHSA-2016:2766)","1","11/15/2016",Global Default Network
10.110.6.125,"236181","RHSA-2016:2658","4","Red Hat Update for java-1.7.0-openjdk (RHSA-2016:2658)","1","11/07/2016",Global Default Network
10.110.6.125,"236189","RHSA-2016:2702","4","Red Hat Update for policycoreutils (RHSA-2016:2702)","1","11/14/2016",Global Default Network
10.110.6.125,"236229","RHSA-2017:0036","4","Red Hat Update for Kernel Security (RHSA-2017:0036)","1","01/10/2017",Global Default Network
10.110.6.125,"236231","RHSA-2017:0061","4","Red Hat Update for  Java-1.6.0-Openjdk Security (RHSA-2017:0061)","1","01/12/2017",Global Default Network
10.110.6.125,"236267","RHSA-2017:0293","4","Red Hat Update for Kernel Security (RHSA-2017:0293)","1","02/22/2017",Global Default Network
10.110.6.125,"236285","RHSA-2017:0459","5","Red Hat Update for firefox Security (RHSA-2017:0459)","1","03/08/2017",Global Default Network
10.110.6.125,"236315","RHSA-2017:0892","4","Red Hat Update for Kernel Security (RHSA-2017:0892)","1","04/11/2017",Global Default Network
10.110.6.125,"236261","RHSA-2017:0269","5","Red Hat Update for java-1.7.0-openjdk Security (RHSA-2017:0269)","1","02/13/2017",Global Default Network
10.110.6.125,"236250","RHSA-2017:0190","5","Red Hat Update for Firefox Security (RHSA-2017:0190)","1","01/25/2017",Global Default Network
